DOI,Journal
10.1021/acs.joc.5b00063,The Journal of Organic Chemistry
10.1021/acs.joc.6b00792,The Journal of Organic Chemistry
10.1021/acs.joc.6b01317,The Journal of Organic Chemistry
10.1021/acs.joc.6b01429,The Journal of Organic Chemistry
10.1021/acs.joc.6b02570,The Journal of Organic Chemistry
10.1021/acs.joc.6b02575,The Journal of Organic Chemistry
10.1021/acs.joc.7b01132,The Journal of Organic Chemistry
10.1021/acs.joc.7b03109,The Journal of Organic Chemistry
10.1021/acs.joc.8b00037,The Journal of Organic Chemistry
10.1021/acs.joc.8b00566,The Journal of Organic Chemistry
10.1021/acs.joc.8b03245,The Journal of Organic Chemistry
10.1021/acs.joc.9b01071,The Journal of Organic Chemistry
10.1021/acs.joc.9b01821,The Journal of Organic Chemistry
10.1021/acs.joc.9b02130,The Journal of Organic Chemistry
10.1021/acs.joc.9b02603,The Journal of Organic Chemistry
10.1021/acs.oprd.9b00205,Organic Process Research & Development
10.1021/acs.orglett.0c00212,Organic Letters
10.1021/acs.orglett.0c00622,Organic Letters
10.1021/acs.orglett.0c01072,Organic Letters
10.1021/acs.orglett.0c02250,Organic Letters
10.1021/acs.orglett.0c02865,Organic Letters
10.1021/acs.orglett.0c03025,Organic Letters
10.1021/acs.orglett.0c03730,Organic Letters
10.1021/acs.orglett.1c00223,Organic Letters
10.1021/acs.orglett.1c00930,Organic Letters
10.1021/acs.orglett.1c01782,Organic Letters
10.1021/acs.orglett.1c02766,Organic Letters
10.1021/acs.orglett.1c04383,Organic Letters
10.1021/acs.orglett.2c00912,Organic Letters
10.1021/acs.orglett.2c01701,Organic Letters
10.1021/acs.orglett.2c03003,Organic Letters
10.1021/acs.orglett.2c03170,Organic Letters
10.1021/acs.orglett.2c03396,Organic Letters
10.1021/acs.orglett.3c00402,Organic Letters
10.1021/acs.orglett.3c00860,Organic Letters
10.1021/acs.orglett.3c03471,Organic Letters
10.1021/acs.orglett.4c00780,Organic Letters
10.1021/acs.orglett.4c00837,Organic Letters
10.1021/acs.orglett.4c03772,Organic Letters
10.1021/acs.orglett.4c04450,Organic Letters
10.1021/acs.orglett.5b03641,Organic Letters
10.1021/acs.orglett.6b02542,Organic Letters
10.1021/acs.orglett.6b03635,Organic Letters
10.1021/acs.orglett.7b03167,Organic Letters
10.1021/acs.orglett.8b00906,Organic Letters
10.1021/acs.orglett.8b01845,Organic Letters
10.1021/acs.orglett.8b02548,Organic Letters
10.1021/acs.orglett.8b03029,Organic Letters
10.1021/acs.orglett.8b03436,Organic Letters
10.1021/acs.orglett.9b00633,Organic Letters
10.1021/acs.orglett.9b01180,Organic Letters
10.1021/acs.orglett.9b01362,Organic Letters
10.1021/acs.orglett.9b02989,Organic Letters
10.1021/acscatal.0c01000,ACS Catalysis
10.1021/acscatal.0c02025,ACS Catalysis
10.1021/acscatal.0c05554,ACS Catalysis
10.1021/acscatal.1c01291,ACS Catalysis
10.1021/acscatal.1c01929,ACS Catalysis
10.1021/acscatal.1c02431,ACS Catalysis
10.1021/acscatal.1c03149,ACS Catalysis
10.1021/acscatal.1c04235,ACS Catalysis
10.1021/acscatal.2c00533,ACS Catalysis
10.1021/acscatal.2c00962,ACS Catalysis
10.1021/acscatal.3c00230,ACS Catalysis
10.1021/acscatal.3c00508,ACS Catalysis
10.1021/acscatal.3c01680,ACS Catalysis
10.1021/acscatal.3c02301,ACS Catalysis
10.1021/acscatal.3c02350,ACS Catalysis
10.1021/acscatal.3c05690,ACS Catalysis
10.1021/acscatal.4c03167,ACS Catalysis
10.1021/acscatal.4c03301,ACS Catalysis
10.1021/acscatal.4c03749,ACS Catalysis
10.1021/acscatal.4c04078,ACS Catalysis
10.1021/acscatal.4c04209,ACS Catalysis
10.1021/acscatal.4c05759,ACS Catalysis
10.1021/acscatal.4c06782,ACS Catalysis
10.1021/acscatal.4c08055,ACS Catalysis
10.1021/acscatal.5b01075,ACS Catalysis
10.1021/acscatal.5b02089,ACS Catalysis
10.1021/acscatal.5b02297,ACS Catalysis
10.1021/acscatal.6b01320,ACS Catalysis
10.1021/acscatal.6b02668,ACS Catalysis
10.1021/acscatal.7b02132,ACS Catalysis
10.1021/acscatal.7b02248,ACS Catalysis
10.1021/acscatal.7b03007,ACS Catalysis
10.1021/acscatal.8b02816,ACS Catalysis
10.1021/acscatal.9b02040,ACS Catalysis
10.1021/ja034833b,Journal of the American Chemical Society
10.1021/ja072203u,Journal of the American Chemical Society
10.1021/ja208860x,Journal of the American Chemical Society
10.1021/ja2122156,Journal of the American Chemical Society
10.1021/ja411683n,Journal of the American Chemical Society
10.1021/ja411699u,Journal of the American Chemical Society
10.1021/ja508736u,Journal of the American Chemical Society
10.1021/ja9003624,Journal of the American Chemical Society
10.1021/ja9098643,Journal of the American Chemical Society
10.1021/ja909962f,Journal of the American Chemical Society
10.1021/jacs.0c00078,Journal of the American Chemical Society
10.1021/jacs.0c01330,Journal of the American Chemical Society
10.1021/jacs.0c04725,Journal of the American Chemical Society
10.1021/jacs.0c05334,Journal of the American Chemical Society
10.1021/jacs.0c09083,Journal of the American Chemical Society
10.1021/jacs.0c09400,Journal of the American Chemical Society
10.1021/jacs.0c10966,Journal of the American Chemical Society
10.1021/jacs.0c12683,Journal of the American Chemical Society
10.1021/jacs.1c00745,Journal of the American Chemical Society
10.1021/jacs.1c03435,Journal of the American Chemical Society
10.1021/jacs.1c05879,Journal of the American Chemical Society
10.1021/jacs.1c08562,Journal of the American Chemical Society
10.1021/jacs.1c11030,Journal of the American Chemical Society
10.1021/jacs.1c11343,Journal of the American Chemical Society
10.1021/jacs.1c12599,Journal of the American Chemical Society
10.1021/jacs.2c03805,Journal of the American Chemical Society
10.1021/jacs.2c05356,Journal of the American Chemical Society
10.1021/jacs.2c05678,Journal of the American Chemical Society
10.1021/jacs.2c05687,Journal of the American Chemical Society
10.1021/jacs.2c06024,Journal of the American Chemical Society
10.1021/jacs.2c10126,Journal of the American Chemical Society
10.1021/jacs.2c10277,Journal of the American Chemical Society
10.1021/jacs.2c10407,Journal of the American Chemical Society
10.1021/jacs.2c10559,Journal of the American Chemical Society
10.1021/jacs.2c10881,Journal of the American Chemical Society
10.1021/jacs.2c11209,Journal of the American Chemical Society
10.1021/jacs.3c00500,Journal of the American Chemical Society
10.1021/jacs.3c02649,Journal of the American Chemical Society
10.1021/jacs.3c04591,Journal of the American Chemical Society
10.1021/jacs.3c07163,Journal of the American Chemical Society
10.1021/jacs.3c11448,Journal of the American Chemical Society
10.1021/jacs.3c11563,Journal of the American Chemical Society
10.1021/jacs.3c12985,Journal of the American Chemical Society
10.1021/jacs.3c14600,Journal of the American Chemical Society
10.1021/jacs.4c00252,Journal of the American Chemical Society
10.1021/jacs.4c00676,Journal of the American Chemical Society
10.1021/jacs.4c01506,Journal of the American Chemical Society
10.1021/jacs.4c03618,Journal of the American Chemical Society
10.1021/jacs.4c03634,Journal of the American Chemical Society
10.1021/jacs.4c03995,Journal of the American Chemical Society
10.1021/jacs.4c04081,Journal of the American Chemical Society
10.1021/jacs.4c06044,Journal of the American Chemical Society
10.1021/jacs.4c08171,Journal of the American Chemical Society
10.1021/jacs.4c10019,Journal of the American Chemical Society
10.1021/jacs.4c13302,Journal of the American Chemical Society
10.1021/jacs.4c15673,Journal of the American Chemical Society
10.1021/jacs.4c15676,Journal of the American Chemical Society
10.1021/jacs.4c16130,Journal of the American Chemical Society
10.1021/jacs.4c16233,Journal of the American Chemical Society
10.1021/jacs.4c16811,Journal of the American Chemical Society
10.1021/jacs.4c16934,Journal of the American Chemical Society
10.1021/jacs.4c18289,Journal of the American Chemical Society
10.1021/jacs.4c18319,Journal of the American Chemical Society
10.1021/jacs.5b06400,Journal of the American Chemical Society
10.1021/jacs.5c00053,Journal of the American Chemical Society
10.1021/jacs.5c01964,Journal of the American Chemical Society
10.1021/jacs.6b03424,Journal of the American Chemical Society
10.1021/jacs.6b08276,Journal of the American Chemical Society
10.1021/jacs.7b01801,Journal of the American Chemical Society
10.1021/jacs.7b01931,Journal of the American Chemical Society
10.1021/jacs.7b07242,Journal of the American Chemical Society
10.1021/jacs.7b08650,Journal of the American Chemical Society
10.1021/jacs.7b11962,Journal of the American Chemical Society
10.1021/jacs.8b00485,Journal of the American Chemical Society
10.1021/jacs.8b04073,Journal of the American Chemical Society
10.1021/jacs.8b05935,Journal of the American Chemical Society
10.1021/jacs.8b07485,Journal of the American Chemical Society
10.1021/jacs.8b09613,Journal of the American Chemical Society
10.1021/jacs.8b10939,Journal of the American Chemical Society
10.1021/jacs.8b13582,Journal of the American Chemical Society
10.1021/jacs.9b02338,Journal of the American Chemical Society
10.1021/jacs.9b05583,Journal of the American Chemical Society
10.1021/jacsau.3c00529,JACS Au
10.1021/jo301471w,The Journal of Organic Chemistry
10.1021/jo400699a,The Journal of Organic Chemistry
10.1021/jo500807d,The Journal of Organic Chemistry
10.1021/jo5017844,The Journal of Organic Chemistry
10.1021/jo701649m,The Journal of Organic Chemistry
10.1021/jo900919v,The Journal of Organic Chemistry
10.1021/ol100008q,Organic Letters
10.1021/om401188v,Organometallics
10.1038/s41929-022-00899-9,Nature Catalysis
10.1038/s44160-023-00293-8,Nature Synthesis
10.1038/s44160-024-00555-z,Nature Synthesis
10.1039/c2cp41647f,Physical Chemistry Chemical Physics
10.1039/c2sc20103h,Chemical Science
10.1039/C5QO00165J,Organic Chemistry Frontiers
10.1039/C5QO00334B,Organic Chemistry Frontiers
10.1039/c5sc00584a,Chemical Science
10.1039/c5sc03905c,Chemical Science
10.1039/c7qo00838d,Chemical Science
10.1039/C8CC05623D,Chemical Communications
10.1039/c8cc08335e,Chemical Communications
10.1039/c8cy02261e,Catalysis Science & Technology
10.1039/C8DT00455B,Dalton Transactions
10.1039/c8ob01176a,Organic & Biomolecular Chemistry
10.1039/C8SC02758G,Chemical Science
10.1039/C9CC05694G,Chemical Communications
10.1039/C9CC08884A,Chemical Communications
10.1039/C9SC00892F,Chemical Science
10.1039/C9SC03169C,Chemical Science
10.1039/D0DT03527K,Dalton Transactions
10.1039/D0QO01019G,Organic Chemistry Frontiers
10.1039/D0QO01412E,Organic Chemistry Frontiers
10.1039/D0SC00377H,Chemical Science
10.1039/D1CC02744A,Chemical Communications
10.1039/D1CP05319A,Physical Chemistry Chemical Physics
10.1039/d1dt02551a,Dalton Transactions
10.1039/D1QO00356A,Organic Chemistry Frontiers
10.1039/D1QO00581B,Organic Chemistry Frontiers
10.1039/D1SC01130H,Chemical Science
10.1039/D1SC04387K,Chemical Science
10.1039/D2CP01233B,Physical Chemistry Chemical Physics
10.1039/D2DT03767J,Dalton Transactions
10.1039/D2QO00284A,Organic Chemistry Frontiers
10.1039/d2sc04092a,Chemical Science
10.1039/d3sc00492a,Chemical Science
10.1039/D4CC00999A,Chemical Communications
10.1039/D4CC04065A,Chemical Communications
10.1039/D4QO01209G,Organic Chemistry Frontiers
10.1039/D4SC03232B,Chemical Science
10.1039/D5QI00018A,Inorganic Chemistry Frontiers
10.1126/science.aas8707,Science
10.1021/jacs.0c05994,Journal of the American Chemical Society
10.31635/ccschem.019.20190025,CCS Chemistry
10.31635/ccschem.021.202000671,CCS Chemistry
10.31635/ccschem.021.202101331,CCS Chemistry
10.31635/ccschem.024.202404067,CCS Chemistry
10.31635/ccschem.024.202404401,CCS Chemistry
10.3390/molecules23102681,Molecules
